rule_id,rule_name,rule_text,category,label,severity,target_os,hash
R001,Malware_Generic_Dropper,"rule Malware_Generic_Dropper { meta: description = ""Detects generic dropper malware"" author = ""CyberSecTeam"" date = ""2025-01-15"" strings: $s1 = ""dropper.exe"" nocase $s2 = ""install_malware"" condition: $s1 or $s2 }",Malware,malicious,high,['Windows'],a1b2c3d4e5f6g7h8i9j0
R002,Ransomware_Note,"rule Ransomware_Note { meta: description = ""Detects ransomware note patterns"" author = ""CyberSecTeam"" date = ""2025-02-10"" strings: $s1 = ""YOUR_FILES_ARE_ENCRYPTED"" nocase $s2 = "".locked"" condition: all of them }",Ransomware,malicious,critical,"['Windows', 'Linux']",b2c3d4e5f6g7h8i9j0k1
R003,Benign_Software,"rule Benign_Software { meta: description = ""Detects legitimate software signatures"" author = ""CyberSecTeam"" date = ""2025-03-05"" strings: $s1 = ""legit_app.exe"" nocase $s2 = ""trusted_vendor"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],c3d4e5f6g7h8i9j0k1l2
R004,NjRAT_Detection,"rule NjRAT_Detection { meta: description = ""Detects NjRAT remote access trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""njrat"" nocase $s2 = ""remoteadmin"" condition: $s1 and $s2 }",RAT,malicious,high,['Windows'],d4e5f6g7h8i9j0k1l2m3
R005,WannaCry_Ransomware,"rule WannaCry_Ransomware { meta: description = ""Detects WannaCry ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""WannaCryptor"" nocase $s2 = ""mssecsvc.exe"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],e5f6g7h8i9j0k1l2m3n4
R006,Benign_Notepad,"rule Benign_Notepad { meta: description = ""Detects Windows Notepad"" author = ""CyberSecTeam"" date = ""2025-03-10"" strings: $s1 = ""notepad.exe"" nocase $s2 = ""Microsoft Windows"" condition: all of them }",Benign,benign,none,['Windows'],f6g7h8i9j0k1l2m3n4o5
R007,Emotet_Banker,"rule Emotet_Banker { meta: description = ""Detects Emotet banking trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = { 6A 40 68 00 30 00 00 } $s2 = ""banking_module"" condition: $s1 or $s2 }",Banker,malicious,high,['Windows'],g7h8i9j0k1l2m3n4o5p6
R008,WebShell_PHP,"rule WebShell_PHP { meta: description = ""Detects PHP-based webshells"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""eval(base64_decode"" nocase $s2 = ""cmd_shell"" condition: $s1 and $s2 }",Webshell,malicious,critical,['Linux'],h8i9j0k1l2m3n4o5p6q7
R009,Benign_Apache,"rule Benign_Apache { meta: description = ""Detects Apache server binaries"" author = ""CyberSecTeam"" date = ""2025-03-15"" strings: $s1 = ""apache2"" nocase $s2 = ""httpd.conf"" condition: $s1 and $s2 }",Benign,benign,none,['Linux'],i9j0k1l2m3n4o5p6q7r8
R010,Mirai_Botnet,"rule Mirai_Botnet { meta: description = ""Detects Mirai botnet"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""mirai."" nocase $s2 = ""telnet_scan"" condition: $s1 or $s2 }",Botnet,malicious,high,['Linux'],j0k1l2m3n4o5p6q7r8s9
R011,Benign_Python,"rule Benign_Python { meta: description = ""Detects Python interpreter"" author = ""CyberSecTeam"" date = ""2025-03-20"" strings: $s1 = ""python3"" nocase $s2 = ""Lib/python"" condition: $s1 and $s2 }",Benign,benign,none,"['Linux', 'Windows']",k1l2m3n4o5p6q7r8s9t0
R012,Zbot_Trojan,"rule Zbot_Trojan { meta: description = ""Detects Zbot trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""zeusbot"" nocase $s2 = ""config.bin"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],l2m3n4o5p6q7r8s9t0u1
R013,Benign_VSCode,"rule Benign_VSCode { meta: description = ""Detects Visual Studio Code"" author = ""CyberSecTeam"" date = ""2025-03-25"" strings: $s1 = ""code.exe"" nocase $s2 = ""electron"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",m3n4o5p6q7r8s9t0u1v2
R014,Dridex_Banker,"rule Dridex_Banker { meta: description = ""Detects Dridex banking trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = { 8D 4D B0 2B C1 } $s2 = ""dridex_loader"" condition: $s1 or $s2 }",Banker,malicious,high,['Windows'],n4o5p6q7r8s9t0u1v2w3
R015,Benign_Firefox,"rule Benign_Firefox { meta: description = ""Detects Firefox browser"" author = ""CyberSecTeam"" date = ""2025-03-30"" strings: $s1 = ""firefox.exe"" nocase $s2 = ""mozilla"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",o5p6q7r8s9t0u1v2w3x4
R016,CoinMiner,"rule CoinMiner { meta: description = ""Detects crypto mining malware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""xmrig"" nocase $s2 = ""stratum"" condition: $s1 or $s2 }",Cryptominer,malicious,medium,"['Windows', 'Linux']",p6q7r8s9t0u1v2w3x4y5
R017,Benign_Chrome,"rule Benign_Chrome { meta: description = ""Detects Chrome browser"" author = ""CyberSecTeam"" date = ""2025-04-05"" strings: $s1 = ""chrome.exe"" nocase $s2 = ""google"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",q7r8s9t0u1v2w3x4y5z6
R018,SpyEye_Trojan,"rule SpyEye_Trojan { meta: description = ""Detects SpyEye trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""spyeye"" nocase $s2 = ""keylogger"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],r8s9t0u1v2w3x4y5z6a7
R019,Benign_Word,"rule Benign_Word { meta: description = ""Detects Microsoft Word"" author = ""CyberSecTeam"" date = ""2025-04-10"" strings: $s1 = ""winword.exe"" nocase $s2 = ""Microsoft Office"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],s9t0u1v2w3x4y5z6a7b8
