id,text,entities,relations,Comments
1,"This post is also available in:      日本語 (Japanese)  CTB-Locker is a well-known ransomware Trojan used by crimeware groups to encrypt files on the victim's endpoints and demand ransom payment to decrypt the files back to their original state, but most antiviruses detect it by mistake as CryptoLocker (only one vendor correctly detects it as CTB-Locker).","[{'id': 45800, 'label': 'malware', 'start_offset': 288, 'end_offset': 300}
 {'id': 45801, 'label': 'malware', 'start_offset': 53, 'end_offset': 63}
 {'id': 45802, 'label': 'malware', 'start_offset': 342, 'end_offset': 352}]",[],[]
2,The attack vector is very basic and repeats itself: It begins with a spear phishing email sent with SCR attachments (double zipped).,"[{'id': 48941, 'label': 'attack-pattern', 'start_offset': 69, 'end_offset': 115}]",[],[]
3,Once executed by the user the first stage malware downloads and executes the ransomware from a fixed hardcoded server list.,[],[],[]
4, The first known campaign was launched by Crimeware on November 2014.,"[{'id': 45806, 'label': 'TIME', 'start_offset': 55, 'end_offset': 68}
 {'id': 48942, 'label': 'malware', 'start_offset': 42, 'end_offset': 51}]",[],[]
5,The first stage downloaded the ransomware from these sites:,[],[],[]
6," A very serious campaign was launched between January 19, 2015 and January 20, 2015, and  Palo Alto Networks Enterprise Security Platform has discovered more than 1000 unique attacks since.","[{'id': 22, 'label': 'identity', 'start_offset': 90, 'end_offset': 108}
 {'id': 44570, 'label': 'TIME', 'start_offset': 46, 'end_offset': 62}
 {'id': 44571, 'label': 'TIME', 'start_offset': 67, 'end_offset': 83}]",[],[]
7,"The attacker used a polymorphic malware builder to generate malware with a unique hash for each victim, preventing signature-based solutions from detecting the new attacks before it was too late for the victim.",[],[],[]
8,"This tactic is a nightmare for legacy security products that are based on legacy techniques such as bytes signatures, since they can only detect attacks after the damage is done instead of preventing it as a true solution should.",[],[],[]
9, Palo Alto Networks Enterprise Security Platform offers multilayer protection to prevent this attack along with other attacks without the need for prior knowledge of the specific attack.,"[{'id': 31, 'label': 'identity', 'start_offset': 1, 'end_offset': 19}]",[],[]
10, We can see here that server hostnames were changed but they didn’t change the server IP address – see the attached file with results for files from last week’s campaign from VirusTotal.,"[{'id': 45807, 'label': 'SOFTWARE', 'start_offset': 175, 'end_offset': 185}]",[],[]
11,Most legacy security programs could not detect this malware at the time it was posted.,[],[],[]
12,"If you re-test these hashes again from last week you can see an average of 49/57 engines that detect last week’s threat – but that’s too little, too late for anyone who already lost data.",[],[],[]
13," This campaign started earlier today, and the malware uses the same techniques and even the same IOCs:  And only added two new hostnames:","[{'id': 45808, 'label': 'TIME', 'start_offset': 23, 'end_offset': 36}]",[],[]
14, By now you shouldn’t be surprised that one of them is on the same known malicious IP address.,[],[],[]
15,"We found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in VirusTotal and most of them barely detected by one vendor (few have 4/57 detection rate).","[{'id': 44574, 'label': 'SOFTWARE', 'start_offset': 122, 'end_offset': 132}]",[],[]
16,See below:,[],[],[]
17, So basically you have two choices:,[],[],[]
18, The most surprising fact about this campaign is that almost all the IOCs haven’t been changed:  For those still using legacy solutions we’ve attached two lists of SHA256 hashes in a text file format for reference.,[],[],[]
19,"One list shows the new campaign, which continues to progress.",[],[],[]
20,"The other list is of last week’s campaign by the same attackers (exhaustive or close to it).  Palo Alto Networks Enterprise Security Platform would have stopped this ransomware attack campaign thanks to the platform’s unique integration between the network, endpoint and the cloud to maximize security.","[{'id': 45809, 'label': 'identity', 'start_offset': 94, 'end_offset': 112}]",[],[]
21,"Attacks aren't getting any less sophisticated, so it is time to leave legacy security solutions behind and upgrade to real, prevention-based security.",[],[],[]
22," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",[],[],[]
23," Please mark, I'm not a robot!",[],[],[]
24,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",[],[],[]
25,"This post is also available in:      日本語 (Japanese)  Over the past six months, we’ve seen a major increase in the number of attack campaigns with the ultimate goal of mining cryptocurrency.",[],[],[]
26,It’s a subject Unit 42 has been tracking in the past year:,"[{'id': 45810, 'label': 'identity', 'start_offset': 15, 'end_offset': 22}]",[],[]
27," So, what is driving a widespread shift from attackers and creating a significant trend in the industry?",[],[],[]
28,There are three factors at work:,[],[],[]
29," To answer the question in more detail, it’s important to put yourself into the criminal’s shoes and consider what alternative routes they have to monetize infections.",[],[],[]
30,"In this brief, we’ll share how this trend came to fruition, why it’s so prevalent, and how security professionals and defenders can keep an eye out for this rising type of threat.",[],[],[]
31, How Attacks Monetize Infections,[],[],[]
32,"While targeted attacks gain the most attention from researchers and media, the majority of malware infections are untargeted and even indiscriminate.",[],[],[]
33,"Instead of seeking out specific targets, many criminals aim to infect as many systems as possible and then turn those infections into cash.",[],[],[]
34,"This has been true for over a decade, although the mechanisms available to criminals have shifted in that time.",[],[],[]
35,"To understand where we are now, it helps to look at how we got here, and to look at the evolution of common cybercriminal activities.",[],[],[]
36,"Back in the early 2000s, some of the earliest “botnet herders” made their income by relaying spam emails through infected computers.","[{'id': 45768, 'label': 'attack-pattern', 'start_offset': 93, 'end_offset': 104}
 {'id': 44575, 'label': 'TIME', 'start_offset': 12, 'end_offset': 23}]",[],[]
37,"Over time, that business became less profitable due to anti-spam controls and ISPs preventing infected systems from directly relaying emails.",[],[],[]
38,"In the mid-2000s, criminals made great profits from using Banking Trojans to steal credentials for online banking websites, and subsequently draining the accounts’ associated funds.","[{'id': 45811, 'label': 'TIME', 'start_offset': 7, 'end_offset': 16}
 {'id': 45812, 'label': 'attack-pattern', 'start_offset': 77, 'end_offset': 94}]",[],[]
39,"This account takeover activity continues today, but various anti-fraud measures and law enforcement actions have made it less profitable and riskier for criminals.",[],[],[]
40,"Another aspect of Banking Trojan infections is that, while the criminal may be infecting hosts indiscriminately, the value of the host greatly depends on the individual who owns it, and the criminals’ ability to “cash out” their bank account.",[],[],[]
41,"Figure 1 is a capture from a book I wrote with some colleagues in 2008, “Cyber Fraud: Tactics, Techniques, and Procedures.”","[{'id': 51804, 'label': 'TIME', 'start_offset': 66, 'end_offset': 70}]",[],[]
42,It shows the price that a criminal enterprise called IFRAME DOLLARS was charging to infect computers in various countries at that time.,"[{'id': 44577, 'label': 'threat-actor', 'start_offset': 53, 'end_offset': 67}]",[],[]
43,"Figure 1: Capture from Cyber Fraud: Tactics, Techniques, and Procedures showing prices of host infections by country.",[],[],[]
44,"In 2007, the infection of a system in Australia went for US$0.60, while an infection in Poland was only a fraction of the cost, at US$0.096.","[{'id': 45814, 'label': 'location', 'start_offset': 38, 'end_offset': 48}
 {'id': 45815, 'label': 'location', 'start_offset': 88, 'end_offset': 94}
 {'id': 45813, 'label': 'TIME', 'start_offset': 3, 'end_offset': 7}]",[],[]
45,The difference in price represented the difference in value: criminals were able to make more money through a Banking Trojan account takeover from an Australian infection than they could in Poland.,"[{'id': 45771, 'label': 'malware', 'start_offset': 110, 'end_offset': 124}
 {'id': 45772, 'label': 'attack-pattern', 'start_offset': 125, 'end_offset': 141}
 {'id': 44579, 'label': 'location', 'start_offset': 190, 'end_offset': 196}
 {'id': 44580, 'label': 'location', 'start_offset': 150, 'end_offset': 160}]",[],[]
47,"As anti-fraud protections evolved, so did the criminals.",[],[],[]
48,Fast forward five years to 2013 and the rise of the Ransomware business model,"[{'id': 44581, 'label': 'TIME', 'start_offset': 27, 'end_offset': 31}]",[],[]
49,This new way to generate profit had two major advantages over account takeovers:  ,[],[],[]
50,"Put another way, the ransomware model represented both increased efficiency and decreased risk in monetizing the infection.",[],[],[]
51,"Anyone who’s been paying attention to cybercrime since 2013 is aware of the ransomware surge, infecting systems throughout the world and plaguing networks’ administrators.","[{'id': 44582, 'label': 'TIME', 'start_offset': 55, 'end_offset': 59}]",[],[]
52,"While only a tiny fraction (possibly 1 in 1000) of systems infected with a banking Trojan pay out for attackers, a much higher portion of ransomware victims pay to get their files back.",[],[],[]
53,"While US$300 payments are less than a single account takeover could return, ransomware makes greater returns due to the volume and decreased risk in this new business model.",[],[],[]
54,Cybercriminals have become good business people: they saw the benefits and embraced the change.,[],[],[]
55,Enter “The Bubble” – Where We Are Now,[],[],[]
56,"In the last two years, but particularly in the last six months, the price of bitcoin and other cryptocurrencies experienced a massive price surge with respect to the U.S. dollar and other fiat currencies.",[],[],[]
57,"Here’s the chart for bitcoin over the last two years, showing a rise of 2,000% to 4,000% in the versus the U.S. dollar.","[{'id': 44585, 'label': 'SOFTWARE', 'start_offset': 21, 'end_offset': 28}]",[],[]
